283,1379
1221,1465
1770,585
536,1250
1896,1886
276,2288
574,2543
326,447
332,2246
188,283
390,1744
1239,1438
906,1713
857,1612
1122,962
1663,524
1207,1961
1256,2388
143,2764
1066,1360
1656,2337
1984,712
959,1494
276,302
1461,1257
1544,1472
1708,2125
1761,2814
954,2565
134,1806
1803,729
842,519
789,2275
862,1182
1142,243
309,1898
1115,708
1894,1854
404,1701
442,1244
1345,2080
399,2792
1322,2119
1038,1984
902,2764
1978,485
1459,2148
1634,2362
441,1793
695,1650
1871,1835
1396,1066
1967,935
238,2734
1107,1311
617,1976
1596,2635
990,2988
296,327
794,2077
188,1886
1014,2951
1614,2140
135,637
117,2439
256,2834
1468,2364
725,1564
1347,2174
796,1052
1961,587
1168,1606
1739,679
1376,2061
1910,2430
118,232
1802,447
1449,795
208,2363
1255,2688
1518,1902
1274,1207
999,2549
1119,964
1026,2193
690,2826
1892,980
1904,532
1336,698
1968,2478
208,1132
730,1919
1111,1628
487,1936
502,2878
764,371
1955,856
1838,660
829,1984
772,813
1167,1761
778,2785
1203,928
520,2346
542,521
1140,379
1694,1824
124,2495
813,1703
1678,2630
243,1860
1931,2562
837,1705
291,2891
1289,1830
1322,1342
658,360
748,2897
1404,1608
570,1746
710,1050
730,1370
1680,1067
1154,1661
1690,513
249,466
825,565
1115,2799
681,2250
1613,477
1060,989
470,1215
1174,2781
603,1315
1304,233
204,1408
1960,1146
1696,911
1646,261
1754,1512
342,2754
781,1374
170,361
456,1800
197,540
1980,2229
1735,2395
895,1250
720,1847
1589,1907
298,451
492,2713
1897,2847
1066,2039
142,2468
1299,2328
1132,2095
1252,2057
1377,1343
1156,1224
1839,205
570,2796
991,979
1113,1408
1248,2130
1965,2697
203,1477
1184,2093
1194,1500
558,2952
1774,1464
137,1545
166,545
830,2989
1598,987
848,618
1018,2244
1175,742
520,2962
1571,1956
1314,1866
945,290
1783,937
228,2798
835,2139
1748,1637
1647,1004
779,2859
352,1310
1154,2219
292,2405
472,479
1644,243
1903,1413
1611,663
210,1477
367,1981
1329,424
494,2618
839,1351
511,2038
1877,1599
1160,2476
178,1826
1566,1191
1377,792
1120,1129
1935,1941
1586,587
1441,2027
606,2504
1903,1891
1352,533
1696,1003
401,2559
154,2494
627,1083
1045,1326
1641,2070
1828,2544
516,1046
1222,1774
777,2913
370,2489
1419,2219
1315,2162
1783,2828
576,697
1584,912
1878,2673
609,2824
306,2379
575,2517
157,2103
1482,878
1461,215
502,2395
950,2521
957,2120
281,1093
1644,1196
1490,2899
1828,869
1046,1125
1421,849
850,605
1067,2075
1351,1504
205,1685
1577,2288
910,887
1310,288
1364,1491
734,547
319,2569
166,1955
1879,2229
215,1355
778,1522
1026,2275
178,232
879,2805
1294,2862
600,291
303,721
889,1885
951,2214
1559,527
1963,2476
1482,287
1672,2051
1190,872
1621,200
1040,2142
1445,1158
754,2057
877,382
811,2555
796,1986
189,2996
1354,1147
454,2170
1382,1723
148,2926
1121,1212
1627,1275
1022,506
123,625
766,311
1047,1852
1841,1453
1465,1355
1061,2524
1826,1818
905,253
1272,911
883,1975
1195,2775
1751,849
695,382
326,1851
1766,1584
832,2494
1863,646
340,290
1272,877
456,828
444,2247
657,975
444,1810
1231,715
1269,357
135,2541
1195,2677
210,1698
1890,1821
1413,2386
309,2697
1351,2794
569,2416
1303,1311
149,888
1935,2944
1381,647
970,1301
967,2622
515,1338
400,249
1285,966
1730,1301
205,1872
554,2123
350,2218
690,1432
103,1569
1288,448
1044,2773
729,1536
1256,289
1186,1268
1791,2650
1713,2187
1792,362
1372,1246
1362,1765
1878,2499
857,1361
934,926
392,2292
108,1893
1728,2660
741,863
881,730
720,1962
1120,1461
1336,1274
1468,2619
1828,961
1228,828
1779,1138
1343,1496
931,1530
761,2319
717,640
649,2230
1088,333
644,656
1252,209
1691,2035
1748,864
1137,244
882,1835
1845,235
308,679
900,321
121,2870
1402,264
1949,2412
1064,1711
498,1752
895,2772
561,2380
1827,1964
296,2702
1600,1825
576,1818
669,712
139,1313
538,2632
1969,517
608,2257
1569,454
1119,2949
1411,2460
1071,2893
1086,2964
566,2477
1317,1436
1203,2460
608,1098
963,2339
1133,944
759,765
594,1471
599,437
745,2132
1975,1388
1909,960
447,1915
1859,2574
1375,2774
547,2676
617,895
1075,602
1748,1540
594,730
1688,2299
1503,2945
1993,2002
1167,1606
1947,979
1669,2977
697,2755
957,788
1130,1423
612,1551
1952,412
1834,2929
551,755
983,212
376,992
467,338
141,1275
1003,2262
1768,559
475,749
1667,914
494,951
521,2395
1408,1133
1277,1800
1188,2483
387,2255
1086,969
1083,2469
953,926
1553,1116
1032,1511
172,616
1274,2343
1815,887
1192,1619
337,743
994,1856
837,2846
1292,1369
1131,613
775,2085
1206,1601
266,385
258,1807
586,217
218,1817
772,2927
1639,1547
564,1532
1535,2927
1645,666
243,2075
1108,1852
1140,278
198,2962
1981,2059
1176,500
1524,1199
1655,1533
173,1165
620,2954
1808,387
1873,963
1277,322
983,2669
103,617
1854,1333
830,1248
1784,2591
930,1748
1278,1313
1304,1593
389,2073
1765,2743
1984,599
1624,1312
1878,1517
1498,2434
1648,254
1752,1898
622,2068
594,864
1209,2922
634,2788
1612,1339
218,515
1525,296
1863,2455
1380,1153
1353,1917
1185,1878
1748,2965
490,2715
289,419
650,1579
1519,2665
397,214
1074,319
438,545
1717,2339
1057,1122
842,2503
687,2618
1309,1346
146,1714
1584,2491
119,2749
1631,350
1451,337
1051,2144
1321,640
901,556
1027,663
860,2852
508,915
1578,321
1321,637
1197,1441
545,1724
1144,724
135,2920
166,1982
875,1431
1507,2686
1096,1348
644,1092
698,2877
578,2799
920,551
861,2557
1471,2333
1101,2983
345,2418
1989,1872
929,725
1078,1257
723,1962
1522,2065
797,2826
1054,1884
1634,1713
1760,2887
162,2354
524,2761
1532,419
733,1416
917,1995
559,1848
850,1871
831,1966
1584,278
945,1349
1191,1041
1372,379
1534,2847
443,1995
967,687
470,2633
554,1059
1853,681
1534,1881
1961,2623
295,2940
1106,959
331,2479
823,1122
531,1864
1308,2847
